accession,Dataset,fits_new,outer_tepal_shape_(verbatim),outer_tepal_shape_cleansed,outer_tepal_lanceolate_acuminate,tepal_spread,tepal_spread_spreading,tepal_spread_curved,tepal_spread_twisted,tepal_spread_other,tepal_length_outer_inner_1,tepal_length_outer_inner_2,tepal_length_outer_inner_3,tepal_length_outer_inner_4,tepal_length_outer_inner_5,tepal_length_outer_inner_6,tepal_length_outer_inner_7,tepal_length_outer_inner_8,tepal_length_outer_inner_9,tepal_length_outer_inner_10,tepal_inner_length_avg,tepal_outer_length_avg,tepal_inner_outer_ratio_avg,inner_tepal_edges,inner_tepal_edges_ruffled,inner_tepal_edges_beaded,inner_tepal_edges_denticulate,inner_tepal_edges_undulate,inner_tepal_edges_scalloped,inner_tepal_edges_rolled,inner_tepal_edges_other,flowers_just_opening,flowers_per_inflo,flowers_per_info_avg,bulb_coat_reticulation,bulb-coat_honeycomb,bulb-coat_squarish,bulb-coat_irregular,bulb-coat_thickwalled,bulb-coat_sinuous,bulb-coat_variable,ovary_cresting,ovary_long_projections,notes,collection_date,country,state,county,elevation,elevation_calculated,latitude,longitude,within_lat_long_range
5125,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 10,10.5; 9,10.5; 9,10; 8,12.5; 9,NA,NA,NA,NA,NA,9.0000,10.9000,0.8287,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,12; 13,12.5,NA,NA,NA,NA,NA,NA,NA,No,No,Bulb glued down.  Unable to see coat reticulatio,1889/05/29,U.S.A.,WA,King,8.14,8.14,47.57639,-122.40861,0
5173,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading; twisted,Yes,No,Yes,NA,11; 10,11; 9,11; 9,11; 10,10.5; 9,NA,NA,NA,NA,NA,9.4000,10.9000,0.8623,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,40; 34,37,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,1893/06/28,U.S.A.,WA,Whitman,724.5,724.5,46.73139,-117.17861,0
5397,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 10,12; 10,12; 10,12; 11,11; 9.5,13; 9,NA,NA,NA,NA,9.9167,11.8333,0.8414,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,21; 23; 14,19.33333333,NA,NA,NA,NA,NA,NA,NA,Yes,No,No bulb,1923/05,U.S.A.,WA,Island,-0.17,-0.17,48.04028,-122.405,0
15226,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,8; 7,8.5; 8,8; 7,9; 8,9; 8,10; 8.5,9; 8,NA,NA,NA,7.7857,8.7857,0.8868,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,19; 17; 23; 15; 19; 19; 26,19.71428571,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,No,,NA,NA,NA,NA,1386.7,1386.7,43.92267,-118.93325,0
21430,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,12; 10,13; 10,13; 11,NA,NA,NA,NA,NA,NA,NA,10.3333,12.6667,0.8162,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,20; 6,13,NA,NA,NA,NA,NA,NA,NA,No,No,Fruits dispersing; no bulb,1931/07,U.S.A.,WA,Clallam,1220,1565.45,47.957247,-123.445581,0
26389,2,No,even taper,even taper,No,spreading-curved,Yes,Yes,No,NA,12.5; 12,10; 11,12.5; 11.5,NA,NA,NA,NA,NA,NA,NA,11.5000,11.6667,0.9933,ruffled,Yes,No,No,No,No,No,NA,FALSE,21; 25; 19; 25; 18,21.6,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1933/07/17,U.S.A.,OR,Wasco,1372,1122.2,45.412237,-121.445454,0
40513,2,No,even taper,even taper,No,some spreading,Some,No,No,NA,11.5; 11,12.5; 11.5,NA,NA,NA,NA,NA,NA,NA,NA,11.2500,12.0000,0.9383,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,36; 23; 22,27,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1933/07/17,U.S.A.,OR,Wasco,1372,1122.2,45.412237,-121.445454,0
43871,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 10,12; 10,11.5; 9.5,11; 10,10.5; 9.5,NA,NA,NA,NA,NA,9.8000,11.2000,0.8765,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,14; 12,13,NA,NA,NA,NA,NA,NA,NA,No,No,,1927/04,U.S.A.,WA,Snohomish,6.78,6.78,48.05194,-122.17583,0
45562,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 9,9.5; 8.5,9; 8,9; 8.5,9; 8,8.5; 8,8.5; 8,9; 8,NA,NA,8.2500,9.0625,0.9110,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,18; 9; 11; 14; 11; 16; 13; 17; 13; 16; 12; 18; 18; 16; 8,14,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,1938/06/25,U.S.A.,ID,Butte,1616,1693.38,43.491823,-113.29944,0
51679,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10.5; 10,10; 9.5,10.5; 9.5,9.5; 9,10; 9,10; 10,9.5; 9,NA,NA,NA,9.4286,10.0000,0.9431,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,11; 11; 15; 13; 7; 13,11.66666667,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,No,,1936/06/24,U.S.A.,ID,Latah,783.78,783.78,46.92167,-116.89722,0
51680,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,13; 11,13; 10,10.5; 9,12; 10.5,10; 9,NA,NA,NA,NA,NA,9.9000,11.7000,0.8495,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,11; 12; 8; 14; 20; 6; 12,11.85714286,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,1936/06/26,U.S.A.,OR,NA,2416.67,2416.67,45.225285,-117.259178,0
55747,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 8.5,8; 7,11; 10,11; 10,10; 8.5,NA,NA,NA,NA,NA,11.3571,12.6429,0.8632,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,7; 7; 5; 9; 9; 11,8,NA,NA,NA,NA,NA,NA,NA,No,No,No bulb,NA,NA,NA,NA,3.62,3.62,48.91806,-122.74333,0
56629,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,14; 12,13; 11,13; 10.5,12.5; 12,12; 11.5,13; 12.5,11; 10,NA,NA,NA,8.8000,10.2000,0.9000,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,3; 5; 8; 5; 9; 11; 11,7.428571429,honeycomb; slightly varied,Yes,No,No,No,No,some,No,No,,1935/07/03,U.S.A.,OR,Multnomah,84.18,84.18,45.610155,-122.009631,0
